City Name,Country,Temp (F),Humidity %,Cloudiness %,Wind Speed (mph),lat,long
brae,gb,48.2,76,0,14.99,60.4,-1.35
priego de cordoba,es,59,51,45,3.85,37.44,-4.2
mackay,au,80.01,65,40,18.34,-21.15,149.2
hope,ca,51.8,100,90,2.89,49.38,-121.44
andippatti,in,82.4,78,96,5.82,9.98,77.63
kysyl-syr,ru,49.8,82,100,7.61,63.9,122.76
ayna,pe,61.16,74,89,2.33,-12.65,-73.92
mujiayingzi,cn,70.9,36,0,11.45,42.12,118.78
amapa,br,74.44,77,95,4.63,1,-52
mandalgovi,mn,51.55,38,100,10.8,45.76,106.27
bac lieu,vn,83.14,74,98,12.68,9.29,105.72
bilibino,ru,35.38,83,93,5.28,68.05,166.44
poum,nc,75.29,85,7,9.13,-20.23,164.02
dzerzhinskoye,ru,44.91,86,100,6.49,56.83,95.23
enshi,cn,63.54,79,100,0.38,30.3,109.48
high level,ca,48.2,100,75,3.36,58.52,-117.14
moose factory,ca,59,87,90,2.24,51.26,-80.61
pangnirtung,ca,31.91,90,85,2.86,66.15,-65.71
vuktyl,ru,48.76,96,88,7.72,63.86,57.31
kodinsk,ru,44.33,83,81,6.42,58.69,99.18
makat,kz,51.06,45,0,12.28,47.65,53.35
kumba,cm,69.46,96,100,3.09,4.64,9.45
hrodna,by,63.37,60,46,17.78,53.69,23.83
qaqortoq,gl,37.4,51,0,9.17,60.72,-46.03
zalantun,cn,66.74,66,96,5.5,48,122.72
chute-aux-outardes,ca,44.6,81,20,2.24,49.12,-68.4
teya,ru,42.84,74,99,3.02,60.38,92.63
san cristobal,ec,66.99,86,8,11.65,-0.9,-89.62
blantyre,mw,69.64,43,0,9.4,-15.79,35.01
mount isa,au,82.4,13,0,9.17,-20.73,139.5
barinitas,ve,71.67,71,91,4.79,8.76,-70.41
karak,pk,80.37,32,0,10.47,33.12,71.09
salym,ru,47.1,90,33,5.39,60.06,71.48
khandbari,np,77.99,59,13,1.79,27.37,87.2
korla,cn,66.99,78,92,4,41.76,86.15
inhambane,mz,71.47,89,2,5.26,-23.86,35.38
nefteyugansk,ru,44.6,100,68,2.24,61.1,72.6
tiverton,gb,46.99,86,0,12.64,50.9,-3.48
los llanos de aridane,es,75.2,69,90,14.99,28.66,-17.92
mbaiki,cf,68.16,99,100,1.1,3.87,17.99
cedral,mx,74.34,33,32,3.33,23.8,-100.73
wawa,ca,55.65,95,100,2.01,47.98,-84.78
